"entities";"negative";"positive";"neutral";"neg";"pos";"neu";"total_articles";"Count"
"Sunday";56;11;33;10;2;6;18;22
"CNN Español";17;33;50;3;6;9;18;20
"Speaker";17;39;44;3;7;8;18;18
"Vladimir Putin";24;47;29;4;8;5;17;38
"Capitol Hill";59;29;12;10;5;2;17;22
"Secretary";6;53;41;1;9;7;17;17
"Obama";13;56;31;2;9;5;16;47
"Israel";31;25;44;5;4;7;16;38
"Obama administration";47;20;33;7;3;5;15;24
"December";27;20;53;4;3;8;15;17
"vice president";13;47;40;2;7;6;15;15
"Fri June 8, 2018";20;13;67;3;2;10;15;15
"Mike Pence";14;71;14;2;10;2;14;82
"Guatemala";57;14;29;8;2;4;14;77
"Iran";29;21;50;4;3;7;14;60
"Canada";50;43;7;7;6;1;14;33
"Singapore";7;71;21;1;10;3;14;26
"ISIS";50;7;43;7;1;6;14;25
"jueves";14;21;64;2;3;9;14;22
"الخميس";36;64;0;5;9;0;14;18
"two minutes";93;7;0;13;1;0;14;16
"حزيران 2018";21;71;7;3;10;1;14;14
"President Obama";31;54;15;4;7;2;13;170
"Wilbur Ross";54;15;31;7;2;4;13;122
"Oval Office";15;69;15;2;9;2;13;40
"Japan";38;31;31;5;4;4;13;31
"South Korea";31;46;23;4;6;3;13;24
"Hong Kong";31;23;46;4;3;6;13;23
"Japanese";23;62;15;3;8;2;13;23
"tweet";31;46;23;4;6;3;13;19
"South Carolina";0;46;54;0;6;7;13;18
"The New York Times";31;15;54;4;2;7;13;16
"دبي";23;62;15;3;8;2;13;14
"الإمارات العربية المتحدة";0;77;23;0;10;3;13;14
"Director";15;46;38;2;6;5;13;13
"gobernador";38;8;54;5;1;7;13;13
"presidents";46;8;46;6;1;6;13;13
"secretary";15;31;54;2;4;7;13;13
"secretary of state";15;8;77;2;1;10;13;13
"Donald J. Trump";42;42;17;5;5;2;12;117
"Dow Jones Trademark Holdings LLC";100;0;0;12;0;0;12;60
"Standard & Poor's Financial Services LLC";100;0;0;12;0;0;12;58
"Tom Price";25;58;17;3;7;2;12;27
"Apple";17;58;25;2;7;3;12;24
"Cable News Network";100;0;0;12;0;0;12;24
"Chicago Mercantile Exchange Inc.";0;25;75;0;3;9;12;24
"FactSet Research Systems Inc.";0;0;100;0;0;12;12;24
"Morningstar, Inc.";0;0;100;0;0;12;12;24
"UK";42;17;42;5;2;5;12;24
"France";33;42;25;4;5;3;12;23
"martes";25;8;67;3;1;8;12;19
"European";25;33;42;3;4;5;12;18
"Fox News";67;25;8;8;3;1;12;18
"French";25;58;17;3;7;2;12;18
"BATS";0;25;75;0;3;9;12;12
"DJIA";100;0;0;12;0;0;12;12
"Scott Pruitt";18;27;55;2;3;6;11;185
"NASA";18;36;45;2;4;5;11;105
"Chuck Schumer";45;27;27;5;3;3;11;61
"CNN en Español";9;18;73;1;2;8;11;54
"Paul Ryan";27;36;36;3;4;4;11;53
"Pyongyang";36;27;36;4;3;4;11;41
"Google";27;36;36;3;4;4;11;32
"Mexican";45;27;27;5;3;3;11;28
"Shinzo Abe";18;82;0;2;9;0;11;25
"EU";64;18;18;7;2;2;11;23
"Robert Mueller";18;73;9;2;8;1;11;20
"German";18;36;45;2;4;5;11;16
"Getty Images";27;36;36;3;4;4;11;16
"Beijing";64;9;27;7;1;3;11;15
"five years";45;9;45;5;1;5;11;15
"eight years";27;18;55;3;2;6;11;13
"two days";45;36;18;5;4;2;11;12
"ambassador";18;45;36;2;5;4;11;11
"Mr.";45;27;27;5;3;3;11;11
"professor";18;45;36;2;5;4;11;11
"Justice Department";40;50;10;4;5;1;10;36
"NFL";30;50;20;3;5;2;10;27
"George W. Bush";10;80;10;1;8;1;10;23
"México";40;20;40;4;2;4;10;23
"Israeli";30;30;40;3;3;4;10;22
"Manhattan";60;30;10;6;3;1;10;17
"Asia";10;60;30;1;6;3;10;14
"Supreme Court";10;30;60;1;3;6;10;14
"expresidente";30;10;60;3;1;6;10;10
"four years";40;30;30;4;3;3;10;10
"Gov.";20;40;40;2;4;4;10;10
"puertorriqueño";30;10;60;3;1;6;10;10
"Steven Mnuchin";22;22;56;2;2;5;9;88
"Kate Spade";78;0;22;7;0;2;9;57
"Giuliani";44;33;22;4;3;2;9;45
"Environmental Protection Agency";22;33;44;2;3;4;9;36
"Rex Tillerson";33;22;44;3;2;4;9;35
"Mike Pompeo";22;44;33;2;4;3;9;31
"Bill Clinton";44;22;33;4;2;3;9;30
"Wall Street";44;33;22;4;3;2;9;28
