"entities";"negative";"positive";"neutral";"neg";"pos";"neu";"total";"Count";"Category"
"ABC";50;50;0;2;2;0;4;8;"LOCATION"
"Kenneth Starr";0;50;50;0;2;2;4;106;"PERSON"
"The Press";25;50;25;1;2;1;4;13;"ORGANIZATION"
"President Clinton";0;75;25;0;3;1;4;4;"ORGANIZATION"
"Hillary Clinton";25;25;50;1;1;2;4;35;"PERSON"
"Juanita Broaddrick";50;25;25;2;1;1;4;8;"PERSON"
"Clintons";50;0;50;2;0;2;4;12;"LOCATION"
"Oval Office";0;50;50;0;2;2;4;6;"PERSON"
"United States";0;25;75;0;1;3;4;4;"ORGANIZATION"
"CBS";75;0;25;3;0;1;4;6;"ORGANIZATION"
"Town & Country";50;25;25;2;1;1;4;6;"LOCATION"
"Virginia";75;25;0;3;1;0;4;4;"LOCATION"
"Ralph Northam";25;0;75;1;0;3;4;7;"ORGANIZATION"
"Kirsten Gillibrand";0;25;75;0;1;3;4;4;"PERSON"
"N.Y.";25;25;50;1;1;2;4;5;"ORGANIZATION"
"Kennedys";25;75;0;1;3;0;4;4;"ORGANIZATION"
"Robert F. Kennedy";50;25;25;2;1;1;4;5;"LOCATION"
"Arlington National Cemetery";25;75;0;1;3;0;4;7;"LOCATION"
"Leslie Millwee";50;25;25;2;1;1;4;5;"LOCATION"
"Arkansas";0;75;25;0;3;1;4;4;"LOCATION"
"Lauren DeBellis Appell";50;0;50;2;0;2;4;4;"LOCATION"
"Fairfax, Virginia";75;25;0;3;1;0;4;12;"LOCATION"
"Rick Santorum";0;0;100;0;0;4;4;7;"PERSON"
"R-Pa.";0;75;25;0;3;1;4;5;"PERSON"
"Senate Republican Policy Committee";0;0;100;0;0;4;4;4;"PERSON"
"Finland";0;0;100;0;0;4;4;4;"PERSON"
"Valery Gerasimov";0;75;25;0;3;1;4;4;"ORGANIZATION"
"COPENHAGEN, Denmark";100;0;0;4;0;0;4;9;"ORGANIZATION"
"Finnish Defense Forces";0;75;25;0;3;1;4;4;"LOCATION"
"Helsinki";50;50;0;2;2;0;4;9;"LOCATION"
"Joseph Dunford";0;33;67;0;1;2;3;4;"ORGANIZATION"
"Joint Chiefs of Staff";33;33;33;1;1;1;3;5;"ORGANIZATION"
"the Nordic country";67;0;33;2;0;1;3;3;"PERSON"
"U.S. Army";67;0;33;2;0;1;3;7;"LOCATION"
"Curtis Scaparrotti";100;0;0;3;0;0;3;3;"PERSON"
"Baku";100;0;0;3;0;0;3;3;"ORGANIZATION"
"Moscow";0;100;0;0;3;0;3;5;"ORGANIZATION"
"Luke Schneider";67;0;33;2;0;1;3;4;"LOCATION"
"Fire Department Coffee Foundation";0;33;67;0;1;2;3;3;"ORGANIZATION"
"Rockford, Ill.";67;33;0;2;1;0;3;3;"LOCATION"
"FATHER'S FELLOW SOLDIERS Fire Department Coffee";100;0;0;3;0;0;3;4;"ORGANIZATION"
"AFFI";33;0;67;1;0;2;3;4;"ORGANIZATION"
"U.S. Navy";67;0;33;2;0;1;3;7;"ORGANIZATION"
"FOLLOW US";67;0;33;2;0;1;3;10;"PERSON"
"FACEBOOK";0;0;100;0;0;3;3;5;"PERSON"
"FOX";0;100;0;0;3;0;3;7;"PERSON"
"Fire Dept. Coffee Foundation";0;0;100;0;0;3;3;3;"PERSON"
"Navy";0;0;100;0;0;3;3;3;"PERSON"
