"entities";"negative";"positive";"neutral";"neg";"pos";"neu";"total";"Count";"Category"
"Department of Homeland Security";50;0;50;2;0;2;4;4;"ORGANIZATION"
"Pennsylvania";50;25;25;2;1;1;4;4;"LOCATION"
"Commerzbank";0;25;75;0;1;3;4;5;"ORGANIZATION"
"Saudi Arabia";25;50;25;1;2;1;4;7;"LOCATION"
"Abu Dhabi";0;50;50;0;2;2;4;4;"LOCATION"
"Middle East";100;0;0;4;0;0;4;4;"LOCATION"
"Thomson Reuters Foundation";50;25;25;2;1;1;4;12;"ORGANIZATION"
"OSLO";25;25;50;1;1;2;4;4;"ORGANIZATION"
"Sergei Karpukhin";0;0;100;0;0;4;4;4;"PERSON"
"Tom Balmforth";0;75;25;0;3;1;4;4;"PERSON"
"Cynthia Osterman";0;0;100;0;0;4;4;4;"PERSON"
"Taipei";0;50;50;0;2;2;4;6;"LOCATION"
"Tyrone Siu";0;50;50;0;2;2;4;5;"PERSON"
"Hawaii";50;50;0;2;2;0;4;4;"LOCATION"
"Catherine Evans";0;0;100;0;0;4;4;4;"PERSON"
"Hong Kong";0;0;100;0;0;4;4;6;"LOCATION"
"Ｇ７";0;0;100;0;0;4;4;10;"ORGANIZATION"
"Sudan";50;0;50;2;0;2;4;24;"LOCATION"
"KHARTOUM";0;0;100;0;0;4;4;7;"LOCATION"
"Khalid Abdelaziz";25;75;0;1;3;0;4;4;"PERSON"
"Libya";100;0;0;4;0;0;4;20;"LOCATION"
"Pyongyang";25;0;75;1;0;3;4;15;"LOCATION"
"Ukraine";50;0;50;2;0;2;4;9;"LOCATION"
"Bashar al-Assad";0;25;75;0;1;3;4;8;"PERSON"
"BAGHDAD";100;0;0;4;0;0;4;5;"LOCATION"
"Haider al-Abadi";0;0;100;0;0;4;4;8;"PERSON"
"Nigeria";50;25;25;2;1;1;4;8;"LOCATION"
"finance ministry";50;0;50;2;0;2;4;6;"ORGANIZATION"
"SINGAPORE";0;75;25;0;3;1;4;6;"LOCATION"
"Charlevoix, Quebec";25;75;0;1;3;0;4;4;"LOCATION"
"DXY";0;75;25;0;3;1;4;4;"ORGANIZATION"
"日経";75;0;25;3;0;1;4;13;"ORGANIZATION"
"ＥＣＢ";0;0;100;0;0;4;4;5;"ORGANIZATION"
"PARIS";0;50;50;0;2;2;4;6;"LOCATION"
"Liquidnet";100;0;0;4;0;0;4;8;"PERSON"
"Fed";0;25;75;0;1;3;4;8;"ORGANIZATION"
"estadounidense";50;25;25;2;1;1;4;6;"LOCATION"
"Tratado de Libre Comercio de América del Norte";0;25;75;0;1;3;4;14;"ORGANIZATION"
"Enrique Peña Nieto";50;0;50;2;0;2;4;4;"PERSON"
"Canadá";0;0;100;0;0;4;4;4;"LOCATION"
"FTSE";100;0;0;3;0;0;3;3;"ORGANIZATION"
"Turkey";67;0;33;2;0;1;3;8;"LOCATION"
"Taliban";0;0;100;0;0;3;3;40;"ORGANIZATION"
"Ashraf Ghani";0;0;100;0;0;3;3;33;"PERSON"
"KABUL";0;0;100;0;0;3;3;14;"LOCATION"
"Afghan government";0;0;100;0;0;3;3;6;"ORGANIZATION"
"Hamid Shalizi";0;0;100;0;0;3;3;3;"PERSON"
"John Nicholson";100;0;0;3;0;0;3;3;"PERSON"
