"entities";"negative";"positive";"neutral";"neg";"pos";"neu";"total";"Count";"Category"
"cabinet";10;60;30;1;6;3;10;15;"ORGANIZATION"
"The New York Times Magazine";20;30;50;2;3;5;10;10;"ORGANIZATION"
"Donald Trump";44;22;33;4;2;3;9;83;"PERSON"
"Democratic";11;56;33;1;5;3;9;34;"ORGANIZATION"
"India";11;22;67;1;2;6;9;13;"LOCATION"
"Reuters";44;11;44;4;1;4;9;12;"ORGANIZATION"
"Times";11;33;56;1;3;5;9;12;"ORGANIZATION"
"Middle East";13;25;63;1;2;5;8;40;"LOCATION"
"Google";25;38;38;2;3;3;8;27;"ORGANIZATION"
"Instagram";0;75;25;0;6;2;8;21;"ORGANIZATION"
"European Union";50;13;38;4;1;3;8;14;"LOCATION"
"Singapore";13;50;38;1;4;3;8;12;"LOCATION"
"Agence France-Presse";38;0;63;3;0;5;8;11;"ORGANIZATION"
"Israel";13;38;50;1;3;4;8;11;"LOCATION"
"Texas";25;25;50;2;2;4;8;9;"LOCATION"
"Chicago";25;25;50;2;2;4;8;9;"LOCATION"
"New Jersey";25;25;50;2;2;4;8;9;"LOCATION"
"Kate Spade";86;0;14;6;0;1;7;106;"PERSON"
"Barack Obama";43;43;14;3;3;1;7;24;"PERSON"
"Justin Trudeau";14;43;43;1;3;3;7;23;"PERSON"
"Italy";57;0;43;4;0;3;7;21;"LOCATION"
"Amazon";0;71;29;0;5;2;7;16;"ORGANIZATION"
"State Department";29;43;29;2;3;2;7;15;"ORGANIZATION"
"Beijing";29;14;57;2;1;4;7;14;"LOCATION"
"Iran";0;86;14;0;6;1;7;11;"LOCATION"
"Yes";71;0;29;5;0;2;7;10;"ORGANIZATION"
"Germany";14;43;43;1;3;3;7;10;"LOCATION"
"Boston";14;14;71;1;1;5;7;7;"LOCATION"
"Republican Party";17;67;17;1;4;1;6;33;"ORGANIZATION"
"San Francisco";17;17;67;1;1;4;6;20;"LOCATION"
"Cuba";67;17;17;4;1;1;6;16;"LOCATION"
"England";50;0;50;3;0;3;6;15;"LOCATION"
"Queens";33;50;17;2;3;1;6;14;"LOCATION"
"Toronto";33;17;50;2;1;3;6;13;"LOCATION"
"Syria";67;0;33;4;0;2;6;13;"LOCATION"
"Army";50;17;33;3;1;2;6;10;"ORGANIZATION"
"Broadway";0;67;33;0;4;2;6;9;"LOCATION"
"North";67;17;17;4;1;1;6;7;"LOCATION"
"Asia";33;33;33;2;2;2;6;6;"LOCATION"
"A26";0;17;83;0;1;5;6;6;"LOCATION"
"Wilbur Ross";40;0;60;2;0;3;5;21;"PERSON"
"Netflix";0;100;0;0;5;0;5;15;"ORGANIZATION"
"Supreme Court";60;0;40;3;0;2;5;14;"ORGANIZATION"
"Wisconsin";20;0;80;1;0;4;5;11;"LOCATION"
"Emmanuel Macron";20;60;20;1;3;1;5;10;"PERSON"
"Justice Department";40;40;20;2;2;1;5;9;"ORGANIZATION"
"Colorado";40;20;40;2;1;2;5;9;"LOCATION"
"A24";20;20;60;1;1;3;5;8;"LOCATION"
"San Diego";20;60;20;1;3;1;5;8;"LOCATION"
"Obama administration";20;0;80;1;0;4;5;8;"LOCATION"
"Quebec";20;60;20;1;3;1;5;8;"LOCATION"
"Berlin";20;40;40;1;2;2;5;6;"LOCATION"
"Africa";20;0;80;1;0;4;5;6;"LOCATION"
"God";20;80;0;1;4;0;5;6;"PERSON"
"Hollywood";20;20;60;1;1;3;5;6;"LOCATION"
"Ireland";80;0;20;4;0;1;5;6;"LOCATION"
"Ohio";40;20;40;2;1;2;5;6;"LOCATION"
"Central Park";40;0;60;2;0;3;5;5;"LOCATION"
"National Suicide Prevention Lifeline";100;0;0;5;0;0;5;5;"ORGANIZATION"
"Pennsylvania";40;40;20;2;2;1;5;5;"LOCATION"
"Environmental Protection Agency";25;50;25;1;2;1;4;39;"ORGANIZATION"
"ZTE";0;25;75;0;1;3;4;35;"ORGANIZATION"
"Group of 7";25;75;0;1;3;0;4;17;"ORGANIZATION"
"Australia";25;0;75;1;0;3;4;15;"LOCATION"
"Yemen";50;25;25;2;1;1;4;15;"LOCATION"
"Mike Pompeo";25;25;50;1;1;2;4;14;"PERSON"
"Paul Ryan";50;0;50;2;0;2;4;13;"PERSON"
"Centers for Disease Control and Prevention";25;0;75;1;0;3;4;10;"ORGANIZATION"
"Islamic State";100;0;0;4;0;0;4;9;"ORGANIZATION"
"Toni Collette";0;75;25;0;3;1;4;8;"PERSON"
"Xi Jinping";25;50;25;1;2;1;4;8;"PERSON"
"Detroit";50;50;0;2;2;0;4;8;"LOCATION"
"Parliament";25;25;50;1;1;2;4;7;"ORGANIZATION"
"Jeff Sessions";75;0;25;3;0;1;4;6;"PERSON"
"Apple";0;50;50;0;2;2;4;6;"ORGANIZATION"
"Theresa May";50;50;0;2;2;0;4;6;"PERSON"
"Spain";25;25;50;1;1;2;4;6;"LOCATION"
"Angela Merkel";25;50;25;1;2;1;4;6;"PERSON"
"Turkey";50;25;25;2;1;1;4;6;"LOCATION"
"Earth";0;25;75;0;1;3;4;5;"LOCATION"
"Harvard";0;75;25;0;3;1;4;5;"ORGANIZATION"
"Long Island";25;0;75;1;0;3;4;5;"LOCATION"
"South Korea";0;50;50;0;2;2;4;5;"LOCATION"
"Atlanta";25;0;75;1;0;3;4;5;"LOCATION"
"Greece";75;0;25;3;0;1;4;5;"LOCATION"
"Shakespeare";0;0;100;0;0;4;4;4;"ORGANIZATION"
"The Washington Post";25;0;75;1;0;3;4;4;"ORGANIZATION"
"Skip";50;0;50;2;0;2;4;4;"PERSON"
"Lebanon";50;25;25;2;1;1;4;4;"LOCATION"
"Your Morning";0;0;100;0;0;4;4;4;"ORGANIZATION"
"Treasury";0;50;50;0;2;2;4;4;"ORGANIZATION"
"Scott Pruitt";0;67;33;0;2;1;3;61;"PERSON"
"Vladimir Putin";33;33;33;1;1;1;3;23;"PERSON"
"Stephen Colbert";33;0;67;1;0;2;3;20;"PERSON"
"Brazil";0;33;67;0;1;2;3;20;"LOCATION"
"John Cox";0;67;33;0;2;1;3;14;"PERSON"
"Gavin Newsom";0;67;33;0;2;1;3;14;"PERSON"
"F.B.I.";0;67;33;0;2;1;3;9;"ORGANIZATION"
"Staten Island";0;67;33;0;2;1;3;8;"LOCATION"
"The Daily";0;33;67;0;1;2;3;8;"ORGANIZATION"
"Bronx";33;33;33;1;1;1;3;8;"LOCATION"
"Shinzo Abe";67;0;33;2;0;1;3;8;"PERSON"
"Soviet Union";0;67;33;0;2;1;3;7;"LOCATION"
"Carlos";33;67;0;1;2;0;3;7;"PERSON"
"St. Lawrence River";33;33;33;1;1;1;3;7;"LOCATION"
"Moscow";33;33;33;1;1;1;3;7;"LOCATION"
"Milly Shapiro";0;33;67;0;1;2;3;6;"PERSON"
"American Civil Liberties Union";33;33;33;1;1;1;3;6;"ORGANIZATION"
"CNN";33;33;33;1;1;1;3;5;"ORGANIZATION"
"Alex Wolff";33;33;33;1;1;1;3;5;"PERSON"
"North America";33;33;33;1;1;1;3;5;"LOCATION"
"Frances Valentine";33;33;33;1;1;1;3;5;"PERSON"
